 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.32213E-01       0.25644E-01       0.12410E+00       0.15064E+01       0.76971E-01      -0.18318E+01
      0      1      -0.11508E+00      -0.61996E-02       0.45802E-02       0.94097E-01      -0.22877E-01      -0.11372E+01
      0      1      -0.82907E-02      -0.21903E-01       0.15389E+00       0.26965E+00      -0.10090E+00       0.13879E+01
      0      1       0.20101E-01       0.13151E-01       0.11642E+00       0.19795E+01       0.19241E+00      -0.21642E+01
      0      1      -0.48940E-01      -0.44506E-01       0.12190E+00       0.18710E+01       0.54722E-02      -0.15819E+01
      0      1      -0.58966E-01       0.28525E-02      -0.21152E+00      -0.29602E+01       0.47276E-01      -0.68660E+00
      0      1      -0.56430E-01       0.26679E-01      -0.16208E+00      -0.84188E+00      -0.92034E-01       0.10873E+01
      0      1       0.41288E-01       0.91161E-02       0.16381E+00      -0.17933E-01       0.63249E-01       0.66407E+00
      0      1       0.85786E-01       0.59467E-04      -0.48978E-01       0.17344E+01      -0.52521E-01      -0.10351E+01
      0      1      -0.70903E-02      -0.20856E-01       0.87182E-01      -0.70784E+00       0.68436E-01       0.41897E+01
      0      1       0.22333E-01      -0.20499E-01      -0.67936E-01       0.26778E+00      -0.17914E+00      -0.60001E+00
      0      1      -0.72518E-01      -0.10585E-01      -0.22159E+00       0.77658E+00      -0.63827E-01       0.63257E+00
      0      1       0.55652E-01       0.28414E-01      -0.11103E+00      -0.81780E+00      -0.85124E-01      -0.82931E+00
      0      1       0.38275E-02       0.32623E-01       0.97671E-01       0.26429E+01      -0.85964E-01       0.86594E+00
      0      1       0.29828E-01       0.23940E-01       0.10332E+00      -0.20964E+01       0.12114E+00       0.18944E+01
      0      1      -0.28649E-01      -0.21263E-01      -0.18542E+00      -0.36875E+01       0.63152E-02      -0.23115E+01
      0      1       0.12073E-01      -0.78176E-02      -0.15056E+00      -0.19832E+01       0.10645E+00      -0.37077E+00
      0      1      -0.30823E-01       0.13962E-02       0.14278E+00       0.14063E+01      -0.15268E+00      -0.28228E+01
      0      1      -0.23139E-01       0.52763E-03       0.21579E+00       0.24730E+00      -0.22113E+00      -0.10191E+01
      0      1      -0.58517E-01       0.15190E-01       0.12382E-02       0.42878E+00      -0.15718E+00      -0.26145E+01
      0      1      -0.48008E-01      -0.84395E-02       0.22226E+00       0.56716E+00       0.15877E+00       0.31813E+01
      0      1      -0.44596E-01      -0.40663E-01       0.11263E+00       0.15717E+01      -0.10700E+00      -0.24252E+01
      0      1      -0.26357E-01      -0.11620E-01      -0.71551E-01      -0.25535E+01       0.86593E-01      -0.23785E+01
      0      1      -0.11847E-01       0.34324E-02      -0.99878E-01      -0.33682E+01      -0.16500E+00      -0.20940E+01
      0      1      -0.23940E-01      -0.21462E-01       0.12294E+00      -0.21517E+01       0.14804E+00       0.23930E+01
      0      1      -0.25103E-02       0.15519E-02       0.33669E-01       0.12327E+01      -0.78561E-01      -0.37996E+00
      0      1      -0.53475E-01      -0.81534E-02      -0.79861E-01      -0.24827E+01      -0.25932E+00      -0.12408E+01
      0      1       0.86353E-02      -0.98448E-02      -0.18763E-01       0.94294E+00       0.30486E+00       0.31328E+01
      0      1      -0.15014E-01      -0.14936E-01      -0.21228E+00      -0.55999E+00      -0.21726E+00      -0.30222E+01
      0      1      -0.41121E-03       0.13846E-01       0.18045E+00      -0.70434E+00      -0.24768E-01      -0.20363E+01
