n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn98.9[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn98.9[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn98.9[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
  10  sol3d  0.117206E+01   0.349656E+01  -0.811091E-03   0.125691E+00   0.124861E+00   0.337160E+00   0.338137E+00   0.218083E+01   0.664490E+01   0.603318E-02      0.125925E+00        0.191561E+00        0.227507E+00        0.124671E+00        0.197183E+00        0.232253E+00        0.313652E+01        0.517859E+01        0.766064E+01     0.728674E-03  -0.167392E-02   0.510221E-03  -0.156383E-01   0.867270E-01   0.100403E+00   0.601092E+00   0.435222E-01   0.589278E+00   0.433813E-01  -0.765163E-01      0.362529E+01     0.000000E+00    0.100010E+05
  11  drift  0.120266E+01   0.349656E+01  -0.811091E-03   0.120703E+00   0.119994E+00   0.322951E+00   0.326138E+00   0.217484E+01   0.641828E+01   0.603318E-02      0.125925E+00        0.191561E+00        0.227507E+00        0.124671E+00        0.197183E+00        0.232253E+00        0.313649E+01        0.517830E+01        0.766021E+01     0.723552E-03  -0.167392E-02   0.462368E-03  -0.156383E-01   0.867270E-01   0.102401E+00   0.505380E+00   0.401364E-01   0.494247E+00   0.400657E-01   0.189259E-01      0.360545E+01     0.000000E+00    0.100010E+05
  12  cav    0.145266E+01   0.420583E+01   0.478132E-01   0.124091E+00   0.124121E+00   0.331829E+00   0.333302E+00   0.201796E+01   0.590335E+01   0.542403E-02      0.126011E+00        0.192351E+00        0.228716E+00        0.124743E+00        0.197589E+00        0.233281E+00        0.314608E+01        0.515697E+01        0.807037E+01     0.613160E-03   0.803525E-02   0.453763E-03   0.127505E-01   0.951122E-01   0.279859E-01  -0.629048E+00   0.464909E-01  -0.617429E+00   0.469863E-01   0.788982E-02      0.372053E+01     0.000000E+00    0.100010E+05
  13  matrx  0.145266E+01   0.420583E+01   0.478132E-01   0.124091E+00   0.124121E+00   0.331829E+00   0.333302E+00   0.201796E+01   0.590335E+01   0.542403E-02      0.126011E+00        0.192351E+00        0.228716E+00        0.124743E+00        0.197589E+00        0.233281E+00        0.314608E+01        0.515697E+01        0.807037E+01     0.613160E-03   0.803525E-02   0.453763E-03   0.127505E-01   0.951122E-01   0.279859E-01  -0.629048E+00   0.464909E-01  -0.617429E+00   0.469863E-01   0.788982E-02      0.372053E+01     0.000000E+00    0.100010E+05
  14  updat  0.145266E+01   0.420583E+01   0.478132E-01   0.124091E+00   0.124121E+00   0.331829E+00   0.333302E+00   0.201796E+01   0.590335E+01   0.542403E-02      0.126011E+00        0.192351E+00        0.228716E+00        0.124743E+00        0.197589E+00        0.233281E+00        0.314608E+01        0.515697E+01        0.807037E+01     0.613160E-03   0.803525E-02   0.453763E-03   0.127505E-01   0.951122E-01   0.279859E-01  -0.629048E+00   0.464909E-01  -0.617429E+00   0.469863E-01   0.788982E-02      0.372053E+01     0.000000E+00    0.100010E+05
  15  drift  0.145786E+01   0.420583E+01   0.478132E-01   0.124972E+00   0.124977E+00   0.334411E+00   0.335691E+00   0.201841E+01   0.591898E+01   0.542403E-02      0.126011E+00        0.192351E+00        0.228716E+00        0.124743E+00        0.197589E+00        0.233281E+00        0.314610E+01        0.515738E+01        0.807102E+01     0.617338E-03   0.803525E-02   0.460393E-03   0.127505E-01   0.951122E-01   0.256645E-01  -0.644659E+00   0.471533E-01  -0.632715E+00   0.476364E-01   0.221830E-01      0.372215E+01     0.000000E+00    0.100010E+05
  16  sol3d  0.185786E+01   0.420583E+01   0.478132E-01   0.135511E+00   0.135390E+00   0.369163E+00   0.363926E+00   0.303194E+01   0.954464E+01   0.542403E-02      0.124325E+00        0.199775E+00        0.240404E+00        0.126252E+00        0.197792E+00        0.240623E+00        0.314618E+01        0.514807E+01        0.810720E+01     0.779018E-03  -0.129464E-01   0.225296E-03   0.153967E-02   0.951122E-01  -0.143248E+00   0.502186E+00   0.561937E-01   0.509386E+00   0.552374E-01   0.112136E+01      0.839860E+01     0.000000E+00    0.100010E+05
  17  drift  0.188846E+01   0.420583E+01   0.478132E-01   0.132012E+00   0.131783E+00   0.356437E+00   0.357454E+00   0.316066E+01   0.990262E+01   0.542403E-02      0.124325E+00        0.199775E+00        0.240404E+00        0.126252E+00        0.197792E+00        0.240623E+00        0.314634E+01        0.515089E+01        0.811164E+01     0.739402E-03  -0.129464E-01   0.230007E-03   0.153967E-02   0.951122E-01  -0.157057E+00   0.433998E+00   0.533289E-01   0.439614E+00   0.523334E-01   0.120538E+01      0.912639E+01     0.000000E+00    0.100010E+05
  18  cav    0.213846E+01   0.513882E+01   0.151970E-01   0.132951E+00   0.132933E+00   0.359004E+00   0.353972E+00   0.324617E+01   0.999614E+01   0.337129E-02      0.124247E+00        0.199256E+00        0.238916E+00        0.126113E+00        0.197410E+00        0.247382E+00        0.311944E+01        0.507896E+01        0.781379E+01     0.288738E-03  -0.915639E-02   0.505009E-03   0.230771E-01   0.105177E+00  -0.235381E+00  -0.590336E+00   0.598517E-01  -0.567347E+00   0.589508E-01  -0.720474E+00      0.118677E+02     0.000000E+00    0.100010E+05
  19  matrx  0.213846E+01   0.513882E+01   0.151970E-01   0.132951E+00   0.132933E+00   0.359004E+00   0.353972E+00   0.324617E+01   0.999614E+01   0.337129E-02      0.124247E+00        0.199256E+00        0.238916E+00        0.126113E+00        0.197410E+00        0.247382E+00        0.311944E+01        0.507896E+01        0.781379E+01     0.288738E-03  -0.915639E-02   0.505009E-03   0.230771E-01   0.105177E+00  -0.235381E+00  -0.590336E+00   0.598517E-01  -0.567347E+00   0.589508E-01  -0.720474E+00      0.118677E+02     0.000000E+00    0.100010E+05
